Adelaïde
Adélayde
Adéle
Adeline
Adolphine
Adrienne
Agathe
Agnès
Albertine
Aléide
Aléis
Alexandrine
Alexise
Alice
Aline
Alphone
Alphonsine
Amélie
Andrée
Angèle
Angélique
Anne
Anne-Marie
Annette
Antoinette
Appoline
Augusta
Augustine
Aurélie
Austine
Barbe
Benoite
Bernardine
Bertranne
Caroline
Catherine
Cécile
Célestine
Céline
Charlotte
Charlotte-Marie
Christine
Christiane
Claire
Clara
Claudine
Clémence
Clémentine
Clothilde
Constance
Constanse
Constantine
Cydonie
Cyprienne
Danielle
Denise
Désirée
Dieudonnée
Dorothée
Eléonore
Elisabeth
Élisabeth-Anne
Elise
Emerantine
Emilie
Ernestine
Esther
Étiennette
Eugénie
Eulalie
Eurélie
Félicie
Félicité
Ferdinande
Fleurie
Florence
Florentine
Françoise
Gabrielle
Gemme
Geneviève
Germaine
Gertrude
Gervaise
Gervaisine
Ghislaine
Gillette
Guillemine
Guyonne
Hardouine
Hélène
Henriette
Hiacinte
Honorine
Hortense
Hyacinte
Iabelle
Ida
Idelette
Imelda
Irène
Irma
Isabelle
Jacqueline
Jacquine
Jeanne
Jeannette
Jehanne
Jenne
Josèphe
Joséphine
Judith
Julia
Julie
Julienne
Juliette
Lancelotte
Laure
Laurence
Léonie
Léontine
Louise
Lucie
Macée
Madeleine
Magdelaine
Magdeleine
Maie
Marguerite
Margueritte
Maria
Mariane
Marianne
Marie
Marie-Anne
Marie-Catherine
Marie-Charlotte
Marie-Françoise
Marie-Louise
Marie-Magdelaine
Marie-Perrine
Marie-Renée
Marie-Thérèse
Marthe
Martine
Mathilde
Mathurine
Melaine
Mélanie
Michelle
Monique
Natalie
Nathalie
Nicolaine
Nicole
Noëlle
Ode
Odile
Olive
Pasquière
Paule
Pauline
Perrine
Petronille
Philippine
Philomène
Radegonde
Reine
Renée
Roberte
Rolande
Rolende
Rosa
Rosalie
Rose
Sainte
Scholastique
Scolastique
Sébastienne
Séraphine
Simone
Sophie
Stéphanie
Suzanne
Thérèse
Thomasse
Thorcile
Thorisle
Tugalle
Urbaine
Ursule
Valentine
Vallerie
Victoire
Victorie
Victorine
Virginie
